date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
02/01/1932,England,South Africa,0,7,1931-32 South Africa rugby union tour of Britain and Ireland,Twickenham,London,England,FALSE,FALSE
16/01/1932,Scotland,South Africa,3,6,1931–32 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
16/01/1932,Wales,England,12,5,1932 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
06/02/1932,Scotland,Wales,0,6,1932 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
13/02/1932,Ireland,England,8,11,1932 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
27/02/1932,Scotland,Ireland,8,20,1932 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
12/03/1932,Wales,Ireland,10,12,1932 Home Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
19/03/1932,England,Scotland,16,3,1932 Home Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
02/07/1932,Australia,New Zealand,22,17,1932 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
16/07/1932,Australia,New Zealand,3,21,1932 New Zealand tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,FALSE,FALSE
23/07/1932,Australia,New Zealand,13,21,1932 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
21/01/1933,England,Wales,3,7,1933 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
04/02/1933,Wales,Scotland,3,11,1933 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
11/02/1933,England,Ireland,17,6,1933 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
11/03/1933,Ireland,Wales,10,5,1933 Home Nations Championship,Ravenhill,Belfast,Ireland,FALSE,FALSE
18/03/1933,Scotland,England,3,0,1933 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
01/04/1933,Ireland,Scotland,6,8,1933 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
08/07/1933,South Africa,Australia,17,3,1933 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,FALSE,FALSE
22/07/1933,South Africa,Australia,6,21,1933 Australia tour of South Africa,Kingsmead Cricket Ground,Durban,South Africa,FALSE,FALSE
12/08/1933,South Africa,Australia,12,3,1933 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa,FALSE,FALSE
26/08/1933,South Africa,Australia,11,0,1933 Australia tour of South Africa,St George's Park,Port Elizabeth,South Africa,FALSE,FALSE
02/09/1933,South Africa,Australia,4,15,1933 Australia tour of South Africa,Springbok Park,Bloemfontein,South Africa,FALSE,FALSE
20/01/1934,Wales,England,0,9,1934 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
03/02/1934,Scotland,Wales,6,13,1934 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/02/1934,Ireland,England,3,13,1934 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
24/02/1934,Scotland,Ireland,16,9,1934 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
10/03/1934,Wales,Ireland,13,0,1934 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
17/03/1934,England,Scotland,6,3,1934 Home Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
11/08/1934,Australia,New Zealand,25,11,1934 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
25/08/1934,Australia,New Zealand,3,3,1934 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
19/01/1935,England,Wales,3,3,1935 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
02/02/1935,Wales,Scotland,10,6,1935 Home Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
09/02/1935,England,Ireland,14,3,1935 Home Nations Championship,Twickenham,London,England,FALSE,FALSE
23/02/1935,Ireland,Scotland,12,5,1935 Home Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
09/03/1935,Ireland,Wales,9,3,1935 Home Nations Championship,Ravenhill,Belfast,Ireland,FALSE,FALSE
16/03/1935,Scotland,England,10,7,1935 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
23/11/1935,Scotland,New Zealand,8,18,1935-36 New Zealand tour,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
07/12/1935,Ireland,New Zealand,9,17,"1935–36 New Zealand rugby union tour of Britain, Ireland and Canada",Lansdowne Road,Dublin,Ireland,FALSE,FALSE
21/12/1935,Wales,New Zealand,13,12,"1935–36 New Zealand tour of Canada, Great Britain and Ireland",National Stadium,Cardiff,Wales,FALSE,FALSE
04/01/1936,England,New Zealand,13,0,"1935–36 New Zealand rugby union tour of Britain, Ireland and Canada",Twickenham,London,England,FALSE,FALSE
18/01/1936,Wales,England,0,0,1936 Home Nations Championship,St Helen's,Swansea,Wales,FALSE,FALSE
01/02/1936,Scotland,Wales,3,13,1936 Home Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
