date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
23/02/2013,England,France,23,13,2013 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
23/02/2013,Italy,Wales,9,26,2013 Six Nations,Stadio Olimpico,Rome,Italy,FALSE,FALSE
24/02/2013,Scotland,Ireland,12,8,2013 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
09/03/2013,Scotland,Wales,18,28,2013 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
09/03/2013,Ireland,France,13,13,2013 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
10/03/2013,England,Italy,18,11,2013 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
16/03/2013,Wales,England,30,3,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
16/03/2013,France,Scotland,23,16,2013 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
16/03/2013,Italy,Ireland,22,15,2013 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
08/06/2013,Argentina,England,3,32,2013 England tour of Argentina,Estadio Padre Ernesto Martearena,Salta,Argentina,FALSE,FALSE
08/06/2013,New Zealand,France,23,13,2013 French tour to New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
08/06/2013,South Africa,Italy,44,10,2013 South African quadrangular tournament,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
15/06/2013,Argentina,England,26,51,2013 England tour of Argentina,Vélez Sársfield,Buenos Aires,Argentina,FALSE,FALSE
15/06/2013,South Africa,Scotland,30,17,South African Quadrangular tournament,Mbombela Stadium,Nelspruit,South Africa,FALSE,FALSE
15/06/2013,New Zealand,France,30,0,2013 French tour to New Zealand,Rugby League Park,Christchurch,New Zealand,FALSE,FALSE
22/06/2013,Scotland,Italy,30,29,South African Quadrangular tournament third place final,Loftus Versfeld,Pretoria,South Africa,TRUE,FALSE
22/06/2013,New Zealand,France,24,9,2013 French tour to New Zealand,Yarrow Stadium,New Plymouth,New Zealand,FALSE,FALSE
17/08/2013,South Africa,Argentina,73,13,2013 Rugby Championship,FNB Stadium,Johannesburg,South Africa,FALSE,FALSE
17/08/2013,Australia,New Zealand,29,47,2013 Rugby Championship,Stadium Australia,Sydney,Australia,FALSE,FALSE
24/08/2013,New Zealand,Australia,27,16,2013 Rugby Championship,Wellington Regional Stadium,Wellington,New Zealand,FALSE,FALSE
24/08/2013,Argentina,South Africa,17,22,2013 Rugby Championship,Malvinas Argentinas,Mendoza,Argentina,FALSE,FALSE
07/09/2013,New Zealand,Argentina,28,13,2013 Rugby Championship,Waikato Stadium,Hamilton,New Zealand,FALSE,FALSE
07/09/2013,Australia,South Africa,12,38,2013 Rugby Championship,Lang Park,Brisbane,Australia,FALSE,FALSE
14/09/2013,Australia,Argentina,14,13,2013 Rugby Championship,Subiaco Oval,Perth,Australia,FALSE,FALSE
14/09/2013,New Zealand,South Africa,29,15,2013 Rugby Championship,Eden Park,Auckland,New Zealand,FALSE,FALSE
28/09/2013,Argentina,New Zealand,15,33,2013 Rugby Championship,Estadio Único,La Plata,Argentina,FALSE,FALSE
28/09/2013,South Africa,Australia,28,8,2013 Rugby Championship,Newlands Stadium,Cape Town,South Africa,FALSE,FALSE
05/10/2013,South Africa,New Zealand,27,38,2013 Rugby Championship,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
05/10/2013,Argentina,Australia,17,54,2013 Rugby Championship,Gigante de Arroyito,Rosario,Argentina,FALSE,FALSE
19/10/2013,New Zealand,Australia,41,33,2013 Autumn International,Forsyth Barr Stadium,Dunedin,New Zealand,FALSE,FALSE
02/11/2013,England,Australia,20,13,2013 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
09/11/2013,Wales,South Africa,15,24,2013 end-of-year test,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
09/11/2013,France,New Zealand,19,26,2013 end-of year test,Stade de France,Saint-Denis,France,FALSE,FALSE
09/11/2013,Italy,Australia,20,50,2013 Autumn International,Stadio Olimpico di Torino,Turin,Italy,FALSE,FALSE
09/11/2013,England,Argentina,31,12,2013 Autumn International,Twickenham,London,England,FALSE,FALSE
16/11/2013,Wales,Argentina,40,6,2013 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
16/11/2013,Ireland,Australia,15,32,2013 Autumn International,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
16/11/2013,England,New Zealand,22,30,2013 Autumn International,Twickenham,London,England,FALSE,FALSE
17/11/2013,Scotland,South Africa,0,28,2013 Autumn International,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
23/11/2013,France,South Africa,10,19,2013 end-of-year test,Stade de France,Saint-Denis,France,FALSE,FALSE
23/11/2013,Italy,Argentina,14,19,2013 end of year test,Stadio Olimpico,Rome,Italy,FALSE,FALSE
23/11/2013,Scotland,Australia,15,21,2013 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
24/11/2013,Ireland,New Zealand,22,24,2013 Autumn International,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
30/11/2013,Wales,Australia,26,30,2013 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
01/02/2014,Wales,Italy,23,15,2014 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
01/02/2014,France,England,26,24,2014 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
02/02/2014,Ireland,Scotland,28,6,2014 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
08/02/2014,Ireland,Wales,26,3,2014 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
08/02/2014,Scotland,England,0,20,2014 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
09/02/2014,France,Italy,30,10,2014 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
21/02/2014,Wales,France,27,6,2014 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
22/02/2014,Italy,Scotland,20,21,2014 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
22/02/2014,England,Ireland,13,10,2014 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
08/03/2014,Scotland,France,17,19,2014 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
08/03/2014,Ireland,Italy,46,7,2014 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
09/03/2014,England,Wales,29,18,2014 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
15/03/2014,Italy,England,11,52,2014 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
15/03/2014,Wales,Scotland,51,3,2014 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
15/03/2014,France,Ireland,20,22,2014 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
07/06/2014,Argentina,Ireland,17,29,2014 Ireland rugby union tour of Argentina,Estadio Centenario,Resistencia,Argentina,FALSE,FALSE
07/06/2014,New Zealand,England,20,15,2014 England rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
07/06/2014,Australia,France,50,23,2014 France tour of Australia,Lang Park,Brisbane,Australia,FALSE,FALSE
14/06/2014,Australia,France,6,0,2014 France tour of Australia,Docklands Stadium,Melbourne,Australia,FALSE,FALSE
14/06/2014,New Zealand,England,28,27,2014 England rugby union tour of New Zealand,Forsyth Barr Stadium,Dunedin,New Zealand,FALSE,FALSE
14/06/2014,Argentina,Ireland,17,23,2014 Ireland rugby union tour of Argentina,Estadio Monumental José Fierro,Tucumán,Argentina,FALSE,FALSE
14/06/2014,South Africa,Wales,38,16,2014 Wales tour of South Africa,Kings Park,Durban,South Africa,FALSE,FALSE
21/06/2014,Australia,France,39,13,2014 France tour of Australia,Sydney Football Stadium,Sydney,Australia,FALSE,FALSE
21/06/2014,South Africa,Wales,31,30,2014 Wales tour of South Africa,Mbombela Stadium,Nelspruit,South Africa,FALSE,FALSE
21/06/2014,New Zealand,England,36,13,2014 England rugby union tour of New Zealand,Waikato Stadium,Hamilton,New Zealand,FALSE,FALSE
21/06/2014,Argentina,Scotland,19,21,2014 Summer International,Estadio Mario Alberto Kempes,Córdoba,Argentina,FALSE,FALSE
28/06/2014,South Africa,Scotland,55,6,2014 Mid-year Test,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,FALSE,FALSE
16/08/2014,Australia,New Zealand,12,12,2014 Rugby Championship,Stadium Australia,Sydney,Australia,FALSE,FALSE
16/08/2014,South Africa,Argentina,13,6,2014 Rugby Championship,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
23/08/2014,Argentina,South Africa,31,33,2014 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,FALSE,FALSE
23/08/2014,New Zealand,Australia,51,20,2014 Rugby Championship,Eden Park,Auckland,New Zealand,FALSE,FALSE
06/09/2014,Australia,South Africa,24,23,2014 Rugby Championship,Subiaco Oval,Perth,Australia,FALSE,FALSE
06/09/2014,New Zealand,Argentina,28,9,2014 Rugby Championship,McLean Park,Napier,New Zealand,FALSE,FALSE
13/09/2014,New Zealand,South Africa,14,10,2014 Rugby Championship,Westpac Stadium,Wellington,New Zealand,FALSE,FALSE
13/09/2014,Australia,Argentina,32,25,2014 Rugby Championship,Robina Stadium,Gold Coast,Australia,FALSE,FALSE
27/09/2014,Argentina,New Zealand,13,34,2014 Rugby Championship,Estadio Único,La Plata,Argentina,FALSE,FALSE
27/09/2014,South Africa,Australia,28,10,2014 Rugby Championship,Newlands Stadium,Cape Town,South Africa,FALSE,FALSE
04/10/2014,Argentina,Australia,21,17,2014 Rugby Championship,Estadio Malvinas Argentinas,Mendoza,Argentina,FALSE,FALSE
04/10/2014,South Africa,New Zealand,27,25,2014 Rugby Championship,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
18/10/2014,Australia,New Zealand,28,29,2014 Autumn International,Lang Park,Brisbane,Australia,FALSE,FALSE
08/11/2014,Scotland,Argentina,41,31,2014 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
08/11/2014,England,New Zealand,21,24,2014 Autumn International,Twickenham,London,England,FALSE,FALSE
08/11/2014,Wales,Australia,28,33,2014 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
08/11/2014,Ireland,South Africa,29,15,2014 end-of-year test,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
15/11/2014,Italy,Argentina,18,20,2014 end of year test,Stadio Luigi Ferraris,Genoa,Italy,FALSE,FALSE
15/11/2014,France,Australia,29,26,2014 Autumn International,Stade de France,Saint-Denis,France,FALSE,FALSE
15/11/2014,England,South Africa,28,31,2014 Autumn International,Twickenham,London,England,FALSE,FALSE
15/11/2014,Scotland,New Zealand,16,24,2014 Autumn International,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
22/11/2014,Wales,New Zealand,16,34,2014 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
22/11/2014,France,Argentina,13,18,2014 Autumn International,Stade de France,Saint-Denis,France,FALSE,FALSE
22/11/2014,Italy,South Africa,6,22,2014 end-of-year test,Stadio Euganeo,Padua,Italy,FALSE,FALSE
22/11/2014,Ireland,Australia,26,23,2014 Autumn International,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
29/11/2014,Wales,South Africa,12,6,2014 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
29/11/2014,England,Australia,26,17,2014 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
06/02/2015,Wales,England,16,21,2015 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
07/02/2015,Italy,Ireland,3,26,2015 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
07/02/2015,France,Scotland,15,8,2015 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
14/02/2015,Ireland,France,18,11,2015 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
14/02/2015,England,Italy,47,17,2015 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
15/02/2015,Scotland,Wales,23,26,2015 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
28/02/2015,Scotland,Italy,19,22,2015 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
28/02/2015,France,Wales,13,20,2015 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
01/03/2015,Ireland,England,19,9,2015 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
14/03/2015,England,Scotland,25,13,2015 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
14/03/2015,Wales,Ireland,23,16,2015 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
15/03/2015,Italy,France,0,29,2015 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
21/03/2015,Scotland,Ireland,10,40,2015 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
21/03/2015,Italy,Wales,20,61,2015 Six Nations,Stadio Olimpico,Rome,Italy,FALSE,FALSE
21/03/2015,England,France,55,35,2015 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
17/07/2015,New Zealand,Argentina,39,18,2015 Rugby Championship,AMI Stadium,Christchurch,New Zealand,FALSE,FALSE
18/07/2015,Australia,South Africa,24,20,2015 Rugby Championship,Lang Park,Brisbane,Australia,FALSE,FALSE
25/07/2015,South Africa,New Zealand,20,27,2015 Rugby Championship,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
25/07/2015,Argentina,Australia,9,34,2015 Rugby Championship,Estadio Malvinas Argentinas,Mendoza,Argentina,FALSE,FALSE
08/08/2015,Australia,New Zealand,27,19,2015 Rugby Championship,Stadium Australia,Sydney,Australia,FALSE,FALSE
08/08/2015,Wales,Ireland,21,35,2015 Rugby World Cup warm-up tests,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
08/08/2015,South Africa,Argentina,25,37,2015 Rugby Championship,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
15/08/2015,England,France,19,14,2015 Rugby World Cup warm-up,Twickenham,London,England,FALSE,FALSE
15/08/2015,Ireland,Scotland,28,22,2015 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
15/08/2015,Argentina,South Africa,12,26,2015 Rugby World Cup warm-up match,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
15/08/2015,New Zealand,Australia,41,13,2015 Rugby World Cup warm-up match,Eden Park,Auckland,New Zealand,FALSE,FALSE
22/08/2015,Italy,Scotland,12,16,2015 Rugby World Cup warm-ups,Stadio Olimpico di Torino,Turin,Italy,FALSE,FALSE
22/08/2015,France,England,25,20,2015 Rugby World Cup warm-up,Stade de France,Saint-Denis,France,FALSE,FALSE
29/08/2015,Ireland,Wales,10,16,2015 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
29/08/2015,Scotland,Italy,48,7,2015 Rugby World Cup warm-ups,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
05/09/2015,Wales,Italy,23,19,2015 Rugby World Cup warm-up,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
05/09/2015,England,Ireland,21,13,2015 Rugby World Cup Warm-up,Twickenham,London,England,FALSE,FALSE
05/09/2015,France,Scotland,19,16,2015 Rugby World Cup warm-up,Stade de France,Saint-Denis,France,FALSE,FALSE
19/09/2015,France,Italy,32,10,2015 Rugby World Cup Pool D,Twickenham Stadium,London,England,TRUE,TRUE
20/09/2015,New Zealand,Argentina,26,16,2015 Rugby World Cup Pool match,Wembley Stadium,London,England,TRUE,TRUE
26/09/2015,England,Wales,25,28,2015 Rugby World Cup Pool A,Twickenham,London,England,FALSE,TRUE
03/10/2015,South Africa,Scotland,34,16,2015 Rugby World Cup,St James Park,Newcastle,England,TRUE,TRUE
03/10/2015,England,Australia,13,33,2015 Rugby World Cup Pool match,Twickenham Stadium,London,England,FALSE,TRUE
04/10/2015,Ireland,Italy,16,9,2015 Rugby World Cup Pool D,Olympic Stadium,London,England,TRUE,TRUE
10/10/2015,Australia,Wales,15,6,2015 Rugby World Cup Pool match,Twickenham Stadium,London,England,TRUE,TRUE
11/10/2015,France,Ireland,9,24,2015 Rugby World Cup Pool D,Millennium Stadium,Cardiff,Wales,TRUE,TRUE
17/10/2015,South Africa,Wales,23,19,2015 Rugby World Cup Quarter-final,Twickenham Stadium,London,England,TRUE,TRUE
17/10/2015,New Zealand,France,62,13,2015 Rugby World Cup Quarter-final,Millennium Stadium,Cardiff,Wales,TRUE,TRUE
18/10/2015,Ireland,Argentina,20,43,2015 Rugby World Cup quarter-final,Millennium Stadium,Cardiff,Wales,TRUE,TRUE
18/10/2015,Australia,Scotland,35,34,2015 Rugby World Cup Quarter-final,Twickenham Stadium,London,England,TRUE,TRUE
24/10/2015,South Africa,New Zealand,18,20,2015 Rugby World Cup Semi-final,Twickenham Stadium,London,England,TRUE,TRUE
25/10/2015,Argentina,Australia,15,29,2015 Rugby World Cup Semi-finals,Twickenham,London,England,TRUE,TRUE
30/10/2015,South Africa,Argentina,24,13,2015 Rugby World Cup Bronze final,Olympic Stadium,London,England,TRUE,TRUE
31/10/2015,New Zealand,Australia,34,17,2015 Rugby World Cup Final,Twickenham Stadium,London,England,TRUE,TRUE
06/02/2016,France,Italy,23,21,2016 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
06/02/2016,Scotland,England,9,15,2016 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
07/02/2016,Ireland,Wales,16,16,2016 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
13/02/2016,Wales,Scotland,27,23,2016 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
13/02/2016,France,Ireland,10,9,2016 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
14/02/2016,Italy,England,9,40,2016 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
26/02/2016,Wales,France,19,10,2016 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
27/02/2016,Italy,Scotland,20,36,2016 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
27/02/2016,England,Ireland,21,10,2016 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
12/03/2016,Ireland,Italy,58,15,2016 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
12/03/2016,England,Wales,25,21,2016 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
13/03/2016,Scotland,France,29,18,2016 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
19/03/2016,Wales,Italy,67,14,2016 Six Nations,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
19/03/2016,France,England,21,31,2016 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
19/03/2016,Ireland,Scotland,35,25,2016 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
29/05/2016,England,Wales,27,13,2016 Summer International,Twickenham,London,England,FALSE,FALSE
11/06/2016,Australia,England,28,39,2016 England tour of Australia,Lang Park,Brisbane,Australia,FALSE,FALSE
11/06/2016,New Zealand,Wales,39,21,2016 Wales tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
11/06/2016,South Africa,Ireland,20,26,2016 Ireland rugby union tour of South Africa,Newlands,Cape Town,South Africa,FALSE,FALSE
11/06/2016,Argentina,Italy,30,24,2016 mid year test,Estadio B.G Estanislao López,Santa Fe,Argentina,FALSE,FALSE
18/06/2016,South Africa,Ireland,32,26,2016 Ireland rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
18/06/2016,Australia,England,7,23,2016 England tour of Australia,Melbourne Rectangular Stadium,Melbourne,Australia,FALSE,FALSE
18/06/2016,New Zealand,Wales,36,22,2016 Wales tour of New Zealand,Wellington Regional Stadium,Wellington,New Zealand,FALSE,FALSE
19/06/2016,Argentina,France,30,19,2016 France tour of Argentina,Estadio Monumental José Fierro,Tucumán,Argentina,FALSE,FALSE
25/06/2016,New Zealand,Wales,46,6,2016 Wales tour of New Zealand,Forsyth Barr Stadium,Dunedin,New Zealand,FALSE,FALSE
25/06/2016,South Africa,Ireland,19,13,2016 Ireland rugby union tour of South Africa,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,FALSE,FALSE
25/06/2016,Argentina,France,0,27,2016 France tour of Argentina,Estadio Monumental José Fierro,Tucumán,Argentina,FALSE,FALSE
25/06/2016,Australia,England,40,44,2016 England tour of Australia,Sydney Football Stadium,Sydney,Australia,FALSE,FALSE
20/08/2016,Australia,New Zealand,8,42,2016 Rugby Championship,Stadium Australia,Sydney,Australia,FALSE,FALSE
20/08/2016,South Africa,Argentina,30,23,2016 Rugby Championship,Mbombela Stadium,Mbombela,South Africa,FALSE,FALSE
27/08/2016,Argentina,South Africa,26,24,2016 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,FALSE,FALSE
27/08/2016,New Zealand,Australia,29,9,2016 Rugby Championship,Wellington Regional Stadium,Wellington,New Zealand,FALSE,FALSE
10/09/2016,New Zealand,Argentina,57,22,2016 Rugby Championship,Waikato Stadium,Hamilton,New Zealand,FALSE,FALSE
10/09/2016,Australia,South Africa,23,17,2016 Rugby Championship,Lang Park,Brisbane,Australia,FALSE,FALSE
17/09/2016,New Zealand,South Africa,41,13,2016 Rugby Championship,Rugby League Park,Christchurch,New Zealand,FALSE,FALSE
17/09/2016,Australia,Argentina,36,20,2016 Rugby Championship,Perth Oval,Perth,Australia,FALSE,FALSE
01/10/2016,Argentina,New Zealand,17,36,2016 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,FALSE,FALSE
01/10/2016,South Africa,Australia,18,10,2016 Rugby Championship,Loftus Versfeld Stadium,Pretoria,South Africa,FALSE,FALSE
08/10/2016,Argentina,Australia,21,33,2016 Rugby Championship,Twickenham,London,England,TRUE,FALSE
08/10/2016,South Africa,New Zealand,15,57,2016 Rugby Championship,Kings Park Stadium,Durban,South Africa,FALSE,FALSE
22/10/2016,New Zealand,Australia,37,10,2016 Autumn International,Eden Park,Auckland,New Zealand,FALSE,FALSE
05/11/2016,Wales,Australia,8,32,2016 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
05/11/2016,Ireland,New Zealand,40,29,2016 Autumn International,Soldier Field,Chicago,United States,TRUE,FALSE
12/11/2016,Italy,New Zealand,10,68,2016 end-of-year internationals,Stadio Olimpico,Rome,Italy,FALSE,FALSE
12/11/2016,Wales,Argentina,24,20,2016 Autumn International,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
12/11/2016,Scotland,Australia,22,23,2016 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
12/11/2016,England,South Africa,37,21,2016 Autumn International,Twickenham,London,England,FALSE,FALSE
19/11/2016,Scotland,Argentina,19,16,2016 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
19/11/2016,Italy,South Africa,20,18,2016 end-of-year test,Stadio Artemio Franchi,Florence,Italy,FALSE,FALSE
19/11/2016,France,Australia,23,25,2016 Autumn International,Stade de France,Saint-Denis,France,FALSE,FALSE
19/11/2016,Ireland,New Zealand,9,21,2016 Autumn International,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
26/11/2016,Wales,South Africa,27,13,2016 end-of-year test,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
26/11/2016,Ireland,Australia,27,24,2016 Autumn International,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
26/11/2016,France,New Zealand,19,24,2016 end-of year test,Stade de France,Saint-Denis,France,FALSE,FALSE
26/11/2016,England,Argentina,27,14,2016 Autumn International,Twickenham,London,England,FALSE,FALSE
03/12/2016,England,Australia,37,21,2016 Autumn International,Twickenham Stadium,London,England,FALSE,FALSE
04/02/2017,Scotland,Ireland,27,22,2017 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
04/02/2017,England,France,19,16,2017 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
05/02/2017,Italy,Wales,7,33,2017 Six Nations,Stadio Olimpico,Rome,Italy,FALSE,FALSE
11/02/2017,Italy,Ireland,10,63,2017 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
11/02/2017,Wales,England,16,21,2017 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
12/02/2017,France,Scotland,22,16,2017 Six Nations Championship,Stade de France,Saint-Denis,France,FALSE,FALSE
25/02/2017,Ireland,France,19,9,2017 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
25/02/2017,Scotland,Wales,29,13,2017 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
26/02/2017,England,Italy,36,15,2017 Six Nations Championship,Twickenham,London,England,FALSE,FALSE
10/03/2017,Wales,Ireland,22,9,2017 Six Nations Championship,Millennium Stadium,Cardiff,Wales,FALSE,FALSE
11/03/2017,England,Scotland,61,21,2017 Six Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
11/03/2017,Italy,France,18,40,2017 Six Nations Championship,Stadio Olimpico,Rome,Italy,FALSE,FALSE
18/03/2017,Scotland,Italy,29,0,2017 Six Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
18/03/2017,France,Wales,20,18,2017 Six Nations Championship,Stade de France,Paris,France,FALSE,FALSE
18/03/2017,Ireland,England,13,9,2017 Six Nations Championship,Aviva Stadium,Dublin,Ireland,FALSE,FALSE
10/06/2017,Argentina,England,34,38,2017 England tour of Argentina,Estadio Bicentenario,San Juan,Argentina,FALSE,FALSE
10/06/2017,Italy,Scotland,13,34,2017 mid-year test,National Stadium,Singapore,Singapore,TRUE,FALSE
10/06/2017,South Africa,France,37,14,2017 France rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa,FALSE,FALSE
17/06/2017,Argentina,England,25,35,2017 England tour of Argentina,Estadio Estanislao López,Santa Fe,Argentina,FALSE,FALSE
17/06/2017,Australia,Scotland,19,24,2017 Summer International,Sydney Football Stadium,Sydney,Australia,FALSE,FALSE
17/06/2017,South Africa,France,37,15,2017 France rugby union tour of South Africa,Kings Park,Durban,South Africa,FALSE,FALSE
24/06/2017,South Africa,France,35,12,2017 France rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
24/06/2017,Australia,Italy,40,27,2017 Summer International,Lang Park,Brisbane,Australia,FALSE,FALSE
19/08/2017,South Africa,Argentina,37,15,2017 Rugby Championship,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,FALSE,FALSE
19/08/2017,Australia,New Zealand,34,54,2017 Rugby Championship,Stadium Australia,Sydney,Australia,FALSE,FALSE
26/08/2017,New Zealand,Australia,35,29,2017 Rugby Championship,Forsyth Barr Stadium,Dunedin,New Zealand,FALSE,FALSE
26/08/2017,Argentina,South Africa,23,41,2017 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,FALSE,FALSE
09/09/2017,New Zealand,Argentina,39,22,2017 Rugby Championship,Yarrow Stadium,New Plymouth,New Zealand,FALSE,FALSE
09/09/2017,Australia,South Africa,23,23,2017 Rugby Championship,Perth Oval,Perth,Australia,FALSE,FALSE
16/09/2017,Australia,Argentina,45,20,2017 Rugby Championship,Canberra Stadium,Canberra,Australia,FALSE,FALSE
